,total_long,total_short,net_short,total_oi,net_short_ratio,concentration_top5_short,concentration_top5_long,date,symbol,signal_level
1365,86427,97071,10644,183498,5.8,145.59,144.85,2020-11-24,IC2012,多头占优
1366,89138,100779,11641,189917,6.13,145.53,144.22,2020-11-25,IC2012,多头占优
1367,86657,97785,11128,184442,6.03,144.3,144.92,2020-11-26,IC2012,多头占优
1368,88386,100284,11898,188670,6.31,144.46,144.25,2020-11-27,IC2012,多头占优
1369,87872,98418,10546,186290,5.66,145.49,142.98,2020-11-30,IC2012,多头占优
1370,87007,98023,11016,185030,5.95,145.8,146.55,2020-12-01,IC2012,多头占优
1371,78968,89823,10855,168791,6.43,145.76,144.63,2020-12-02,IC2012,多头占优
1372,79446,88763,9317,168209,5.54,146.5,145.4,2020-12-03,IC2012,多头占优
1373,76940,84725,7785,161665,4.82,145.53,145.22,2020-12-04,IC2012,多头占优
1374,74139,81999,7860,156138,5.03,147.15,144.06,2020-12-07,IC2012,多头占优
1375,70845,76719,5874,147564,3.98,145.74,144.28,2020-12-08,IC2012,多头占优
1376,73339,80136,6797,153475,4.43,147.21,144.37,2020-12-09,IC2012,多头占优
1377,68932,73090,4158,142022,2.93,146.74,147.1,2020-12-10,IC2012,多头占优
1378,72754,78573,5819,151327,3.85,149.25,146.55,2020-12-11,IC2012,多头占优
1379,58150,64149,5999,122299,4.91,147.31,146.97,2020-12-14,IC2012,多头占优
1380,49752,55059,5307,104811,5.06,150.02,144.88,2020-12-15,IC2012,多头占优
1381,40311,42971,2660,83282,3.19,150.98,147.56,2020-12-16,IC2012,多头占优
1382,19023,18824,-199,37847,-0.53,144.89,143.78,2020-12-17,IC2012,空头力量偏弱
1383,59993,68427,8434,128420,6.57,148.13,142.89,2020-12-18,IC2101,多头占优
1384,65480,72398,6918,137878,5.02,147.78,146.11,2020-12-21,IC2101,多头占优
1385,62052,69892,7840,131944,5.94,147.49,143.23,2020-12-22,IC2101,多头占优
1386,67082,74717,7635,141799,5.38,147.5,145.77,2020-12-23,IC2101,多头占优
1387,64203,73142,8939,137345,6.51,149.33,142.41,2020-12-24,IC2101,多头占优
1388,61328,69770,8442,131098,6.44,146.74,143.07,2020-12-25,IC2101,多头占优
1389,61426,70353,8927,131779,6.77,148.52,141.94,2020-12-28,IC2101,多头占优
1390,61118,69758,8640,130876,6.6,148.08,141.0,2020-12-29,IC2101,多头占优
1391,60697,67864,7167,128561,5.57,147.64,141.25,2020-12-30,IC2101,多头占优
1392,60586,68050,7464,128636,5.8,148.12,140.7,2020-12-31,IC2101,多头占优
